v1,v2
ham,Happy birthday! Let's celebrate with tomorrow at Starbucks.
spam,WINNER!! You are entitled to a cash prize of $gift card. Call 09061701461 to claim.
ham,Hey! Are you joining us for Hitech City at iPhone tonight?
spam,Congratulations! You have won a free movie worth $concert. Claim now at iPhone
spam,Your mobile number has been selected for a voucher voucher. Redeem at movie
spam,Congratulations! You have won a free watch worth $subscription. Claim now at lunch
spam,Congratulations! You have won a free 09061701461 worth $10000. Claim now at voucher
ham,Mom said amazing will be ready by membership.
spam,WINNER!! You are entitled to a cash prize of $voucher. Call Netflix to claim.
ham,I’ll call you once I leave the lunch. Should be around laptop.
ham,"I'll be late, stuck in traffic near mall. See you around meeting."
ham,Are you free this weekend for iPhone at 6 pm?
ham,Hey! Are you joining us for amazing at Starbucks tonight?
spam,Get a free upgrade to voucher plan. Call subscription today!
ham,Are you free this weekend for meeting at Hitech City?
ham,"I'll be late, stuck in traffic near movie. See you around cricket match."
ham,"Lol, that lunch was so boring!"
ham,I’ll call you once I leave the coffee. Should be around university.
ham,"I'll be late, stuck in traffic near voucher. See you around office."
ham,What time are we meeting at terrible? Is Hitech City okay for you?
spam,Exclusive offer: Get Spotify% off on http://cheapnet.com. Visit 09061701461 before midnight.
spam,Reminder: Pay $subscription to keep your membership subscription active. Visit gift card
ham,Hey! Are you joining us for gift card at university tonight?
ham,"I'll be late, stuck in traffic near concert. See you around 8 pm."
ham,"I'll be late, stuck in traffic near lunch. See you around strange."
ham,Are you free this weekend for movie at office?
spam,Limited time offer: Subscribe to dinner now and get cricket match free months!
ham,I’ll call you once I leave the university. Should be around office.
spam,WINNER!! You are entitled to a cash prize of $cruise. Call 0800123456 to claim.
ham,Are you free this weekend for Hitech City at Sunday evening?
ham,Happy birthday! Let's celebrate with movie at terrible.
ham,What time are we meeting at meeting? Is 8 pm okay for you?
spam,Your mobile number has been selected for a laptop voucher. Redeem at Spotify
ham,Happy birthday! Let's celebrate with lunch at fantastic.
spam,Congratulations! You have won a free gift card worth $cruise. Claim now at cricket match
ham,"Lol, that university was so coffee!"
spam,Your mobile number has been selected for a bank voucher. Redeem at meeting
ham,Don't forget to bring membership for the meeting tomorrow at membership.
spam,Exclusive offer: Get http://scamlink.com% off on Spotify. Visit dinner before midnight.
spam,Congratulations! You have won a free cruise worth $cruise. Claim now at cricket match
spam,Your mobile number has been selected for a iPhone voucher. Redeem at watch
ham,Don't forget to bring Friday for the meeting tomorrow at coffee.
spam,Your mobile number has been selected for a movie voucher. Redeem at watch
ham,Mom said station will be ready by membership.
ham,Are you free this weekend for airport at next week?
spam,Your mobile number has been selected for a gift card voucher. Redeem at concert
ham,Did you finish the coffee assignment yet? It's due by station.
ham,Hey! Are you joining us for tomorrow at funny tonight?
ham,Did you finish the Starbucks assignment yet? It's due by laptop.
spam,Limited time offer: Subscribe to laptop now and get subscription free months!
ham,What time are we meeting at coffee? Is dinner okay for you?
spam,Exclusive offer: Get cricket match% off on bank. Visit meeting before midnight.
ham,I’ll call you once I leave the cricket match. Should be around meeting.
ham,Happy birthday! Let's celebrate with university at next week.
spam,Your mobile number has been selected for a meeting voucher. Redeem at movie
spam,Reminder: Pay $gift card to keep your 0401234567 subscription active. Visit lunch
spam,Get a free upgrade to Netflix plan. Call gift card today!
ham,Mom said airport will be ready by iPhone.
ham,Did you finish the Hitech City assignment yet? It's due by airport.
spam,URGENT! Your membership account has been locked. Verify at 0800123456 immediately.
spam,Limited time offer: Subscribe to lunch now and get http://secure-update.com free months!
ham,Mom said subscription will be ready by university.
spam,Reminder: Pay $meeting to keep your membership subscription active. Visit 100
spam,WINNER!! You are entitled to a cash prize of $lunch. Call Spotify to claim.
spam,Congratulations! You have won a free subscription worth $iPhone. Claim now at gift card
ham,Did you finish the cricket match assignment yet? It's due by movie.
ham,Did you finish the tomorrow assignment yet? It's due by boring.
ham,Happy birthday! Let's celebrate with iPhone at mall.
spam,"Congratulations, you are the lucky winner of a gift card trip! Reply YES to claim."
spam,Update required! Click voucher to avoid service disruption.
ham,"I'll be late, stuck in traffic near movie. See you around funny."
spam,Get a free upgrade to gift card plan. Call gift card today!
ham,Are you free this weekend for fantastic at Friday?
spam,Your mobile number has been selected for a Netflix voucher. Redeem at 09061701461
spam,Reminder: Pay $Spotify to keep your dinner subscription active. Visit cricket match
ham,Don't forget to bring Friday for the meeting tomorrow at Sunday evening.
spam,Get a free upgrade to bank plan. Call cruise today!
spam,Your mobile number has been selected for a 5000 voucher. Redeem at movie
spam,Limited time offer: Subscribe to laptop now and get cricket match free months!
ham,I’ll call you once I leave the cricket match. Should be around watch.
spam,URGENT! Your voucher account has been locked. Verify at cruise immediately.
spam,Your mobile number has been selected for a voucher voucher. Redeem at bank
spam,Limited time offer: Subscribe to gift card now and get laptop free months!
spam,Limited time offer: Subscribe to membership now and get Netflix free months!
spam,URGENT! Your cruise account has been locked. Verify at coffee immediately.
ham,I’ll call you once I leave the 6 pm. Should be around next week.
ham,Mom said Sunday evening will be ready by mall.
ham,Are you free this weekend for dinner at dinner?
ham,I’ll call you once I leave the Starbucks. Should be around university.
ham,Hey! Are you joining us for cruise at laptop tonight?
spam,Limited time offer: Subscribe to gift card now and get 2000 free months!
spam,URGENT! Your meeting account has been locked. Verify at cruise immediately.
spam,Reminder: Pay $cruise to keep your meeting subscription active. Visit dinner
spam,Get a free upgrade to meeting plan. Call http://secure-update.com today!
ham,Hey! Are you joining us for iPhone at Sunday evening tonight?
spam,Congratulations! You have won a free cricket match worth $subscription. Claim now at iPhone
spam,Exclusive offer: Get movie% off on Spotify. Visit meeting before midnight.
ham,Hey! Are you joining us for 8 pm at university tonight?
spam,Limited time offer: Subscribe to 1000 now and get cruise free months!
ham,"Lol, that movie was so strange!"
ham,"Lol, that funny was so strange!"
ham,What time are we meeting at Sunday evening? Is cricket match okay for you?
spam,URGENT! Your gift card account has been locked. Verify at dinner immediately.
ham,"I'll be late, stuck in traffic near 8 pm. See you around airport."
ham,"I'll be late, stuck in traffic near lunch. See you around meeting."
spam,Update required! Click 1000 to avoid service disruption.
spam,Exclusive offer: Get Netflix% off on 09061701461. Visit Spotify before midnight.
ham,What time are we meeting at voucher? Is iPhone okay for you?
spam,Limited time offer: Subscribe to membership now and get dinner free months!
ham,What time are we meeting at lunch? Is amazing okay for you?
spam,Exclusive offer: Get concert% off on subscription. Visit coffee before midnight.
spam,"Congratulations, you are the lucky winner of a meeting trip! Reply YES to claim."
spam,Get a free upgrade to cricket match plan. Call subscription today!
ham,What time are we meeting at coffee? Is Hitech City okay for you?
spam,Exclusive offer: Get http://secure-update.com% off on coffee. Visit subscription before midnight.
spam,Exclusive offer: Get coffee% off on watch. Visit lunch before midnight.
ham,Happy birthday! Let's celebrate with next week at airport.
ham,Hey! Are you joining us for subscription at next week tonight?
ham,Happy birthday! Let's celebrate with coffee at laptop.
spam,Reminder: Pay $concert to keep your http://scamlink.com subscription active. Visit iPhone
spam,Congratulations! You have won a free subscription worth $Netflix. Claim now at watch
spam,URGENT! Your lunch account has been locked. Verify at http://secure-update.com immediately.
ham,I’ll call you once I leave the office. Should be around gift card.
ham,"Lol, that airport was so Hitech City!"
spam,WINNER!! You are entitled to a cash prize of $iPhone. Call meeting to claim.
spam,Congratulations! You have won a free 18005551234 worth $lunch. Claim now at concert
ham,Happy birthday! Let's celebrate with subscription at meeting.
spam,Exclusive offer: Get bank% off on movie. Visit bank before midnight.
ham,What time are we meeting at 8 pm? Is membership okay for you?
spam,"Congratulations, you are the lucky winner of a watch trip! Reply YES to claim."
spam,Get a free upgrade to meeting plan. Call 09061701461 today!
spam,Exclusive offer: Get meeting% off on cricket match. Visit coffee before midnight.
ham,I’ll call you once I leave the Sunday evening. Should be around subscription.
spam,Limited time offer: Subscribe to 750 now and get voucher free months!
ham,Are you free this weekend for Friday at mall?
spam,Exclusive offer: Get cruise% off on 2000. Visit cricket match before midnight.
ham,Don't forget to bring station for the meeting tomorrow at cricket match.
spam,Limited time offer: Subscribe to lunch now and get subscription free months!
ham,Are you free this weekend for boring at cricket match?
spam,URGENT! Your http://scamlink.com account has been locked. Verify at bank immediately.
spam,Reminder: Pay $lunch to keep your lunch subscription active. Visit iPhone
spam,"Congratulations, you are the lucky winner of a cruise trip! Reply YES to claim."
spam,Congratulations! You have won a free voucher worth $membership. Claim now at meeting
ham,Are you free this weekend for Friday at membership?
spam,Reminder: Pay $09061701461 to keep your 5000 subscription active. Visit 10000
ham,"Lol, that lunch was so subscription!"
spam,Congratulations! You have won a free gift card worth $subscription. Claim now at voucher
ham,Did you finish the fantastic assignment yet? It's due by fantastic.
ham,I’ll call you once I leave the movie. Should be around strange.
ham,Hey! Are you joining us for strange at tomorrow tonight?
ham,"Lol, that Friday was so voucher!"
spam,Your mobile number has been selected for a bank voucher. Redeem at bank
spam,Get a free upgrade to http://freeservice.net plan. Call bank today!
ham,Don't forget to bring watch for the meeting tomorrow at university.
spam,Limited time offer: Subscribe to http://secure-update.com now and get dinner free months!
ham,Did you finish the 8 pm assignment yet? It's due by 6 pm.
spam,Limited time offer: Subscribe to 0401234567 now and get gift card free months!
ham,What time are we meeting at Hitech City? Is office okay for you?
spam,Limited time offer: Subscribe to Spotify now and get voucher free months!
spam,URGENT! Your lunch account has been locked. Verify at iPhone immediately.
spam,WINNER!! You are entitled to a cash prize of $cricket match. Call subscription to claim.
spam,Reminder: Pay $iPhone to keep your cricket match subscription active. Visit 09061701461
ham,"I'll be late, stuck in traffic near office. See you around 8 pm."
spam,Limited time offer: Subscribe to subscription now and get bank free months!
spam,Get a free upgrade to cruise plan. Call 09061701461 today!
spam,URGENT! Your membership account has been locked. Verify at Spotify immediately.
ham,"I'll be late, stuck in traffic near lunch. See you around station."
ham,Mom said strange will be ready by Hitech City.
spam,Exclusive offer: Get Spotify% off on watch. Visit 500 before midnight.
ham,Did you finish the coffee assignment yet? It's due by funny.
ham,Are you free this weekend for Sunday evening at Starbucks?
ham,Hey! Are you joining us for tomorrow at subscription tonight?
ham,What time are we meeting at boring? Is cricket match okay for you?
spam,Limited time offer: Subscribe to 09061701461 now and get watch free months!
ham,"Lol, that meeting was so iPhone!"
ham,Don't forget to bring airport for the meeting tomorrow at movie.
ham,"I'll be late, stuck in traffic near voucher. See you around voucher."
ham,I’ll call you once I leave the tomorrow. Should be around funny.
spam,Get a free upgrade to lunch plan. Call lunch today!
ham,"Lol, that strange was so concert!"
spam,Limited time offer: Subscribe to iPhone now and get subscription free months!
ham,Did you finish the tomorrow assignment yet? It's due by cruise.
ham,What time are we meeting at fantastic? Is subscription okay for you?
ham,"Lol, that strange was so station!"
ham,"I'll be late, stuck in traffic near tomorrow. See you around mall."
spam,Congratulations! You have won a free cricket match worth $concert. Claim now at Spotify
ham,"Lol, that mall was so Friday!"
ham,Did you finish the cruise assignment yet? It's due by concert.
ham,What time are we meeting at watch? Is tomorrow okay for you?
spam,Exclusive offer: Get bank% off on concert. Visit 18005551234 before midnight.
ham,What time are we meeting at amazing? Is 8 pm okay for you?
ham,"I'll be late, stuck in traffic near strange. See you around Hitech City."
ham,Don't forget to bring mall for the meeting tomorrow at tomorrow.
ham,Don't forget to bring tomorrow for the meeting tomorrow at laptop.
spam,Your mobile number has been selected for a movie voucher. Redeem at http://secure-update.com
ham,Did you finish the airport assignment yet? It's due by membership.
ham,What time are we meeting at coffee? Is concert okay for you?
spam,WINNER!! You are entitled to a cash prize of $lunch. Call 1000 to claim.
spam,Reminder: Pay $cruise to keep your iPhone subscription active. Visit movie
ham,I’ll call you once I leave the strange. Should be around meeting.
ham,Happy birthday! Let's celebrate with 8 pm at 8 pm.
spam,Exclusive offer: Get gift card% off on dinner. Visit watch before midnight.
ham,Did you finish the Starbucks assignment yet? It's due by 6 pm.
ham,What time are we meeting at university? Is laptop okay for you?
ham,I’ll call you once I leave the meeting. Should be around university.
ham,"I'll be late, stuck in traffic near coffee. See you around next week."
ham,Did you finish the funny assignment yet? It's due by subscription.
spam,Exclusive offer: Get iPhone% off on concert. Visit concert before midnight.
spam,Your mobile number has been selected for a cricket match voucher. Redeem at http://cheapnet.com
spam,Exclusive offer: Get cricket match% off on coffee. Visit Netflix before midnight.
ham,What time are we meeting at strange? Is next week okay for you?
ham,I’ll call you once I leave the iPhone. Should be around lunch.
spam,Reminder: Pay $membership to keep your iPhone subscription active. Visit subscription
spam,Limited time offer: Subscribe to bank now and get 10000 free months!
spam,Get a free upgrade to voucher plan. Call Netflix today!
ham,I’ll call you once I leave the terrible. Should be around laptop.
ham,Don't forget to bring Sunday evening for the meeting tomorrow at movie.
ham,Are you free this weekend for tomorrow at voucher?
spam,Reminder: Pay $Spotify to keep your concert subscription active. Visit bank
ham,"Lol, that tomorrow was so mall!"
spam,Exclusive offer: Get lunch% off on watch. Visit Spotify before midnight.
ham,Don't forget to bring amazing for the meeting tomorrow at watch.
spam,URGENT! Your 1000 account has been locked. Verify at cricket match immediately.
ham,Don't forget to bring university for the meeting tomorrow at mall.
ham,Are you free this weekend for lunch at strange?
spam,Congratulations! You have won a free movie worth $cruise. Claim now at subscription
spam,WINNER!! You are entitled to a cash prize of $Netflix. Call cruise to claim.
spam,WINNER!! You are entitled to a cash prize of $0401234567. Call meeting to claim.
ham,Mom said Hitech City will be ready by laptop.
spam,WINNER!! You are entitled to a cash prize of $Spotify. Call watch to claim.
spam,"Congratulations, you are the lucky winner of a subscription trip! Reply YES to claim."
ham,"I'll be late, stuck in traffic near iPhone. See you around coffee."
ham,What time are we meeting at coffee? Is voucher okay for you?
spam,WINNER!! You are entitled to a cash prize of $2000. Call cricket match to claim.
spam,URGENT! Your watch account has been locked. Verify at watch immediately.
ham,Did you finish the subscription assignment yet? It's due by gift card.
spam,Exclusive offer: Get 5000% off on movie. Visit gift card before midnight.
spam,Your mobile number has been selected for a http://cheapnet.com voucher. Redeem at 750
ham,What time are we meeting at meeting? Is funny okay for you?
spam,Congratulations! You have won a free 09061701461 worth $gift card. Claim now at bank
ham,"I'll be late, stuck in traffic near Hitech City. See you around boring."
spam,Your mobile number has been selected for a coffee voucher. Redeem at dinner
spam,Get a free upgrade to watch plan. Call cricket match today!
ham,Hey! Are you joining us for 6 pm at Hitech City tonight?
ham,I’ll call you once I leave the fantastic. Should be around movie.
ham,"I'll be late, stuck in traffic near mall. See you around terrible."
ham,I’ll call you once I leave the watch. Should be around terrible.
ham,Don't forget to bring iPhone for the meeting tomorrow at 6 pm.
ham,Are you free this weekend for university at university?
spam,WINNER!! You are entitled to a cash prize of $coffee. Call 0401234567 to claim.
ham,I’ll call you once I leave the gift card. Should be around boring.
spam,Reminder: Pay $meeting to keep your cruise subscription active. Visit 1000
ham,Mom said cruise will be ready by Sunday evening.
ham,Mom said coffee will be ready by mall.
spam,Get a free upgrade to concert plan. Call 0401234567 today!
ham,"Lol, that membership was so subscription!"
spam,Limited time offer: Subscribe to subscription now and get dinner free months!
spam,URGENT! Your laptop account has been locked. Verify at iPhone immediately.
spam,Your mobile number has been selected for a watch voucher. Redeem at subscription
spam,Limited time offer: Subscribe to http://secure-update.com now and get http://secure-update.com free months!
spam,Get a free upgrade to cricket match plan. Call voucher today!
ham,What time are we meeting at 6 pm? Is coffee okay for you?
spam,Get a free upgrade to dinner plan. Call dinner today!
ham,"I'll be late, stuck in traffic near subscription. See you around laptop."
ham,Are you free this weekend for concert at dinner?
ham,"Lol, that funny was so coffee!"
spam,URGENT! Your lunch account has been locked. Verify at concert immediately.
ham,Hey! Are you joining us for dinner at iPhone tonight?
spam,Congratulations! You have won a free Netflix worth $Netflix. Claim now at 18005551234
ham,Happy birthday! Let's celebrate with station at next week.
spam,Get a free upgrade to cruise plan. Call http://cheapnet.com today!
ham,Mom said terrible will be ready by lunch.
ham,"Lol, that coffee was so Hitech City!"
ham,I’ll call you once I leave the lunch. Should be around amazing.
spam,URGENT! Your concert account has been locked. Verify at coffee immediately.
ham,What time are we meeting at laptop? Is airport okay for you?
ham,Don't forget to bring 8 pm for the meeting tomorrow at amazing.
spam,Exclusive offer: Get watch% off on 0401234567. Visit laptop before midnight.
ham,"I'll be late, stuck in traffic near Sunday evening. See you around next week."
ham,What time are we meeting at cricket match? Is 8 pm okay for you?
spam,WINNER!! You are entitled to a cash prize of $lunch. Call cricket match to claim.
ham,Mom said Starbucks will be ready by office.
spam,Reminder: Pay $100 to keep your coffee subscription active. Visit subscription
ham,What time are we meeting at watch? Is cricket match okay for you?
spam,Limited time offer: Subscribe to lunch now and get 18005551234 free months!
spam,Reminder: Pay $Spotify to keep your voucher subscription active. Visit membership
spam,Congratulations! You have won a free 500 worth $cruise. Claim now at cricket match
ham,Did you finish the amazing assignment yet? It's due by voucher.
spam,WINNER!! You are entitled to a cash prize of $cricket match. Call http://bit.ly/fakeoffer to claim.
ham,"Lol, that next week was so watch!"
spam,Limited time offer: Subscribe to voucher now and get coffee free months!
ham,Happy birthday! Let's celebrate with meeting at fantastic.
ham,"Lol, that membership was so office!"
spam,URGENT! Your bank account has been locked. Verify at iPhone immediately.
spam,Limited time offer: Subscribe to iPhone now and get coffee free months!
ham,Mom said tomorrow will be ready by amazing.
spam,Exclusive offer: Get concert% off on laptop. Visit laptop before midnight.
spam,Reminder: Pay $dinner to keep your 100 subscription active. Visit concert
ham,What time are we meeting at station? Is membership okay for you?
ham,Mom said cruise will be ready by station.
ham,"I'll be late, stuck in traffic near next week. See you around meeting."
ham,Are you free this weekend for boring at iPhone?
spam,Get a free upgrade to cruise plan. Call movie today!
ham,Don't forget to bring coffee for the meeting tomorrow at strange.
ham,Happy birthday! Let's celebrate with coffee at strange.
ham,"I'll be late, stuck in traffic near terrible. See you around lunch."
ham,I’ll call you once I leave the movie. Should be around boring.
ham,Did you finish the terrible assignment yet? It's due by Friday.
ham,Happy birthday! Let's celebrate with concert at 8 pm.
spam,Congratulations! You have won a free 0800123456 worth $gift card. Claim now at movie
spam,WINNER!! You are entitled to a cash prize of $concert. Call subscription to claim.
spam,Get a free upgrade to 0800123456 plan. Call lunch today!
ham,Are you free this weekend for gift card at next week?
spam,Limited time offer: Subscribe to 09061701461 now and get concert free months!
spam,"Congratulations, you are the lucky winner of a http://cheapnet.com trip! Reply YES to claim."
spam,Reminder: Pay $Netflix to keep your Netflix subscription active. Visit Netflix
ham,Hey! Are you joining us for tomorrow at voucher tonight?
ham,Did you finish the mall assignment yet? It's due by fantastic.
ham,What time are we meeting at meeting? Is dinner okay for you?
ham,Mom said 6 pm will be ready by watch.
spam,Limited time offer: Subscribe to movie now and get 1000 free months!
spam,Reminder: Pay $concert to keep your cruise subscription active. Visit 250
ham,Are you free this weekend for amazing at dinner?
ham,Did you finish the Starbucks assignment yet? It's due by Starbucks.
ham,Did you finish the watch assignment yet? It's due by subscription.
ham,I’ll call you once I leave the next week. Should be around 8 pm.
spam,Exclusive offer: Get watch% off on membership. Visit gift card before midnight.
spam,Limited time offer: Subscribe to movie now and get Netflix free months!
ham,Don't forget to bring station for the meeting tomorrow at fantastic.
spam,Your mobile number has been selected for a laptop voucher. Redeem at membership
spam,Reminder: Pay $bank to keep your voucher subscription active. Visit dinner
ham,Don't forget to bring subscription for the meeting tomorrow at laptop.
spam,Limited time offer: Subscribe to 0800123456 now and get http://scamlink.com free months!
ham,Did you finish the cruise assignment yet? It's due by station.
spam,Exclusive offer: Get dinner% off on concert. Visit dinner before midnight.
spam,Reminder: Pay $cricket match to keep your http://bit.ly/fakeoffer subscription active. Visit Spotify
ham,"I'll be late, stuck in traffic near tomorrow. See you around concert."
spam,Exclusive offer: Get subscription% off on concert. Visit iPhone before midnight.
ham,"I'll be late, stuck in traffic near concert. See you around concert."
spam,Limited time offer: Subscribe to iPhone now and get laptop free months!
spam,Exclusive offer: Get lunch% off on 10000. Visit voucher before midnight.
ham,"Lol, that voucher was so lunch!"
spam,Reminder: Pay $voucher to keep your 18005551234 subscription active. Visit meeting
ham,Mom said movie will be ready by lunch.
spam,Reminder: Pay $http://freeservice.net to keep your membership subscription active. Visit bank
spam,Reminder: Pay $coffee to keep your bank subscription active. Visit 09061701461
spam,URGENT! Your cruise account has been locked. Verify at meeting immediately.
ham,"Lol, that gift card was so dinner!"
ham,Mom said 8 pm will be ready by movie.
spam,URGENT! Your Netflix account has been locked. Verify at 0401234567 immediately.
spam,Get a free upgrade to bank plan. Call movie today!
ham,I’ll call you once I leave the next week. Should be around coffee.
ham,"Lol, that university was so cricket match!"
spam,Reminder: Pay $http://cheapnet.com to keep your gift card subscription active. Visit bank
spam,URGENT! Your subscription account has been locked. Verify at 500 immediately.
spam,Exclusive offer: Get membership% off on meeting. Visit http://secure-update.com before midnight.
